,A,T,Tc
0.015505,995.2600640867,294.0550818375,294.0208660018
0.064495,981.0971613528,298.6625295186,297.6989470016
0.1,971.5593610402,301.6312015082,300.731937616
0.115505,966.8347062279,302.4696195548,301.826245909
0.164495,954.0751351691,305.7737826364,305.0339361623
0.2,944.8641638195,307.896345044,307.6697034444
0.215505,940.486559049,309.412289586,309.1528859276
0.264495,928.7990284026,312.2388708608,311.5669134691
0.3,919.5408264931,315.1086961328,314.5958227659
0.315505,916.3230424929,315.6211329828,314.9783993629
0.364495,905.2999784188,318.6739853759,317.6467501844
0.4,898.0004188103,320.7652757112,320.2345199477
0.415505,894.1825636999,321.1551058488,320.8648195834
0.464495,884.3356900646,324.2334076243,323.6710795507
0.5,877.827587633,326.3059996548,325.4223756747
0.515505,874.8517234698,326.9710921046,325.7765460767
0.564495,865.199573388,329.1846061432,328.4969350033
0.6,859.6034381986,330.7293262248,330.2174123844
0.615505,856.9286332021,331.2539006865,330.732204931
0.664495,848.624467519,333.538825438,332.6025929487
0.7,843.0472260789,335.1405944061,334.5421912234
0.715505,840.6046277426,335.9906721576,334.5224064129
0.764495,833.1588215132,337.5714954641,337.0541004033
0.8,828.6256491734,339.0951309592,338.4534837635
0.815505,825.8663427653,339.9333742114,338.7370425672
0.864495,819.3025894818,341.4527196574,340.1593030724
0.9,814.9539253182,342.6256505805,341.8766249886
0.915505,813.003243191,343.2998242566,341.7885958641
0.964495,806.8448580806,344.3846868957,343.8956110532
1.0,803.0313202055,345.5915908261,344.2943623921
1.015505,801.3009154713,345.8786308995,345.4564933493
1.064495,796.0608385679,347.3469846885,346.3405402011
1.1,792.6863748484,348.3540080964,347.7442051691
1.115505,791.0820945752,348.3111833974,347.875109876
1.164495,786.1472577299,350.4372849249,349.2781037216
1.2,783.5036617331,351.4404712322,350.3290818496
1.215505,781.8342680796,350.8617425361,350.6719774427
1.264495,777.4912081922,352.6983734019,351.4593918194
1.3,774.7005603968,353.3469279761,352.7231025812
1.315505,773.5040300875,353.1916924502,352.5191638509
