,A,T,Tc
0.1,995.26,294.055,294.021
0.2,966.835,302.47,301.826
0.3,940.487,309.412,309.153
0.4,916.323,315.621,314.978
0.5,894.183,321.155,320.865
0.6,874.852,326.971,325.777
0.7,856.929,331.254,330.732
0.8,840.605,335.991,334.522
0.9,825.866,339.933,338.737
1,813.003,343.3,341.789
1.1,801.301,345.879,345.456
1.2,791.082,348.311,347.875
1.3,781.834,350.862,350.672
1.4,773.504,353.192,352.519
1.5,766.443,355.164,354.709
1.6,759.774,357.159,356.014
1.7,754.521,359.017,357.643
1.8,749.134,360.209,359.23
1.9,744.633,361.697,360.62
2,740.924,362.606,361.594
2.1,737.285,363.374,363.081
2.2,734.185,364.35,364.238
2.3,731.63,365.21,364.409
2.4,729.004,366.348,365.082
2.5,726.912,366.66,365.969
2.6,725.028,367.43,366.737
2.7,723.223,368.165,366.958
2.8,722.047,368.288,367.433
2.9,720.231,368.751,367.835
3,719.694,369.384,368.195
3.1,718.378,369.889,368.487
3.2,716.866,369.885,369.069
3.3,716.102,369.893,369.29
3.4,715.556,370.656,369.253
3.5,714.633,370.77,369.8
3.6,714.542,371.362,370.173
3.7,713.955,371.631,369.738
3.8,713.235,371.202,370.122
3.9,712.987,371.526,370.046
4,713.398,371.405,370.42
4.1,712.466,371.957,371.018
4.2,711.958,371.975,371.102
4.3,711.887,372.153,370.675
4.4,711.706,371.719,370.805
4.5,711.885,372.05,371.004
4.6,711.375,371.96,370.859
4.7,711.178,372.075,371.255
4.8,711.04,372.207,371.191
4.9,710.546,372.425,371.435
5,710.679,372.542,371.155
