,B,C
0,5.92178717715506E-05,0
0.0333,0,5.38448189774199E-05
0.0667,2.90320479099311E-05,0.000108688681713
0.1,0,4.79548731761402E-06
0.1334,0.000347509451455,6.61129646509221E-05
0.1667,9.52315405279371E-05,0.000175163496582
0.2,0.000197467008883,0
0.2334,0.000135246840831,4.83055561944304E-06
0.2667,5.94706892975216E-05,0.000200894031368
0.3001,9.00723260908899E-05,0
0.3334,0.000150715685275,0
0.3667,0,9.50353474991219E-05
0.4001,3.93728901817589E-05,0
0.4334,0.000222034044506,0
0.4668,5.37741145784916E-05,4.11170757325581E-05
0.5001,0,0.00017182069575
0.5334,0,0
0.5668,0,0
0.6001,0.000154386227139,3.42561612448548E-05
0.6335,0.000214144581827,0
0.6668,6.22177221444899E-05,7.99082363002402E-05
0.7001,0.000147125286199,9.7839602225978E-05
0.7335,0.000243685119389,6.56657329617258E-06
0.7668,0.000191257964447,5.71200530708257E-05
0.8002,4.85762526871466E-05,0.000212483058952
0.8335,0.000117013952692,0
0.8668,3.17878975627339E-05,0.000283526532402
0.9002,0.000202149641673,0.000152986364161
0.9335,9.72219564256604E-08,5.38402171164164E-05
0.9669,0.000271986197228,7.56010307246103E-05
1.0002,0.000213208750591,0
1.0335,0.000186155712381,3.25575620970724E-05
1.0669,9.26446310892647E-05,0.000111174469608
1.1002,0.000133688942148,0.000175413374723
1.1336,0.00029156420922,0.000139175336311
1.1669,0.00013695973315,0.000119325798765
1.2002,0.000275185947693,2.91175954770551E-05
1.2336,0.000102326665506,2.38630275699929E-05
1.2669,7.66866025283949E-05,4.72557046207333E-05
1.3003,0.000251078312108,6.57395291848125E-05
1.3336,0.000139978018484,0.000100472376748
1.3669,8.85061791805009E-05,0.000127022942701
1.4003,0,7.30928494387969E-05
1.4336,0,0.000124195099052
1.467,0.00035984605711,0
1.5003,0.00018079697669,2.61549857380101E-06
1.5336,0.000176827000814,0.000193002290459
1.567,0.000321917715405,0.000201520301279
1.6003,0.000104597311752,0.000289431409172
1.6337,5.75421182534E-06,0.000111642132028
1.667,0.00026943545922,0.000299043922404
1.7003,1.91201875619819E-05,0.000276639241462
1.7337,0.000122414937506,7.97554602951216E-05
1.767,0.000412251362595,0.000242327141155
1.8004,0.000241932263804,0.000169489140595
1.8337,7.09185990227696E-05,0.000252268640388
